name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Austin,2025-06-15,95.9,70.1,79.6,103.7,70.1,82.3,72.6,80.8,0.038,100,16.67,rain,0,0,50.8,12.8,182.2,1015,66.9,9.9,313,27.1,9,100,2025-06-15T06:28:57,2025-06-15T20:34:31,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-16,94.9,70.1,81.7,103.5,70.1,85.8,70.7,72.3,0,0,0,,0,0,21.8,9.3,187.6,1013.6,17.5,9.9,311.5,26.8,10,75,2025-06-16T06:29:04,2025-06-16T20:34:49,0.69,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-17,94.9,71.9,83.4,99.9,71.9,86.3,69.8,66.3,0,0,0,,0,0,29,18.5,184.4,1011.1,5.1,9.9,327.6,28.3,9,60,2025-06-17T06:29:12,2025-06-17T20:35:06,0.73,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-18,96.1,79.1,85.5,102.3,79.1,88.8,70.7,63.4,0,0,0,rain,0,0,31.3,14.2,168.2,1012,40.5,9.9,263.9,22.8,10,60,2025-06-18T06:29:21,2025-06-18T20:35:22,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-19,98,78.2,86.8,105.4,78.2,92.3,72.5,64.8,0,0,0,rain,0,0,23.5,13.8,173.1,1016.1,43.9,9.9,315.4,27.1,9,75,2025-06-19T06:29:32,2025-06-19T20:35:37,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-20,97,78.1,86.5,104.9,78.1,91.2,72.5,65.9,0,0,0,rain,0,0,25.2,10.4,170.4,1015.6,52.8,9.9,143.7,12.5,10,60,2025-06-20T06:29:44,2025-06-20T20:35:51,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-21,96,77,85,100.3,77,88.2,70.7,65.1,0,0,0,,0,0,28.8,11.6,168.3,1014.9,50.2,9.9,50.9,4.4,2,30,2025-06-21T06:29:57,2025-06-21T20:36:03,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-22,96.1,77,85.7,100.2,77,89,70.4,63.7,0,0,0,rain,0,0,31.5,14.3,165.6,1015.9,47.8,9.9,186.9,16.3,6,30,2025-06-22T06:30:11,2025-06-22T20:36:15,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-23,96.9,78.1,86.2,101.3,78.1,89.3,70.6,62.8,0.001,100,4.17,rain,0,0,26.2,12.7,161.3,1017.5,42.7,9.9,301.9,26.2,9,30,2025-06-23T06:30:26,2025-06-23T20:36:25,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-24,92.9,75.7,82.9,97.5,75.7,86,71.3,69.9,0.039,100,8.33,rain,0,0,33.3,11.2,136.2,1018.9,38.9,9.9,280.7,24.2,9,30,2025-06-24T06:30:42,2025-06-24T20:36:33,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-25,94.4,74.9,81.5,99.3,74.9,83.1,70.3,71,0,0,0,rain,0,0,33,11.2,127.3,1017.6,36.2,9.9,135.3,11.6,7,60,2025-06-25T06:31:00,2025-06-25T20:36:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-26,96,75.8,82,99.6,75.8,83.9,71.4,72.9,0.01,100,8.33,rain,0,0,34.5,16,139.3,1015.7,55,9.9,122,10.7,5,60,2025-06-26T06:31:18,2025-06-26T20:36:47,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-27,96.1,73.1,84.4,100.3,73.1,87,70.5,66.7,0,0,0,,0,0,24.2,12.5,149.9,1015.5,25.3,9.8,149.9,12.9,8,30,2025-06-27T06:31:37,2025-06-27T20:36:51,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-28,96.9,75.8,86,100.7,75.8,89,70.1,62.6,0,0,0,,0,0,25.2,10.4,164,1015.6,35.9,9.9,305.5,26.4,9,60,2025-06-28T06:31:58,2025-06-28T20:36:55,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-29,97,74.8,84.3,103.5,74.8,88.2,71.5,67.6,0,0,0,,0,0,35.6,13.2,150.9,1014.6,24.1,9.9,327.5,28.4,9,75,2025-06-29T06:32:19,2025-06-29T20:36:57,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-06-30,96.1,74.9,81.7,99.6,74.9,83.4,70.2,71.1,0.036,100,8.33,rain,0,0,32.2,9.7,175,1015.5,25.8,9.6,327.5,28.2,9,30,2025-06-30T06:32:42,2025-06-30T20:36:57,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-01,95,73.1,82.7,97.1,73.1,84.4,68.5,65.5,0.027,100,8.33,rain,0,0,19.2,8.2,130.8,1016.9,14.5,9.6,328.5,28.3,9,30,2025-07-01T06:33:05,2025-07-01T20:36:56,0.2,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-02,93,76.9,82.1,99.9,76.9,85.3,73.4,77.1,0.607,100,12.5,rain,0,0,32.2,9.2,147.1,1015.5,43.7,9.8,326.3,28.2,9,30,2025-07-02T06:33:29,2025-07-02T20:36:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-03,81,75.9,77.6,88.8,75.9,78,75.2,92.2,0.738,100,45.83,rain,0,0,24.6,6.9,124.1,1014.7,69.2,8.5,332.5,28.8,9,60,2025-07-03T06:33:54,2025-07-03T20:36:50,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-04,82.2,75.2,77.7,90.4,75.2,78.9,75.8,94,0.767,100,54.17,rain,0,0,24.6,6.4,144.5,1014.3,87.1,6.6,175.8,15,6,60,2025-07-04T06:34:20,2025-07-04T20:36:45,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-05,77,74,75.3,77,74,75.3,74.3,96.7,2.275,100,79.17,rain,0,0,28.2,11.6,155.9,1013.7,91.5,5.1,324.6,28,9,30,2025-07-05T06:34:47,2025-07-05T20:36:38,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-06,88.1,74,78.5,95,74,80.2,73.5,86.1,0,0,0,rain,0,0,21.9,9.3,160.4,1014.2,78.4,7.9,322.7,27.9,9,60,2025-07-06T06:35:14,2025-07-06T20:36:30,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-07,89,75.9,81.3,96.1,75.9,84.4,73.4,78.6,0.029,100,12.5,rain,0,0,20.7,11.4,170.3,1015.6,37.9,9.3,322.5,28,9,60,2025-07-07T06:35:42,2025-07-07T20:36:21,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-08,93.8,75.7,82.3,99.4,75.7,86,73,75.4,0,0,0,rain,0,0,28.2,11.5,174,1017.8,24.2,9.8,316.7,27.5,9,60,2025-07-08T06:36:11,2025-07-08T20:36:10,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-09,83.2,73.5,76.7,89.9,73.5,77.7,72.6,87.3,0.275,100,20.83,rain,0,0,27.7,8.1,200.3,1017.9,51.8,9.4,237.8,20.5,9,60,2025-07-09T06:36:40,2025-07-09T20:35:57,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-10,92,71,81.4,98,71,84,69.8,71,0,0,0,,0,0,27.3,12.6,186,1015.8,8,9.9,248.2,21.7,10,30,2025-07-10T06:37:10,2025-07-10T20:35:43,0.5,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
Austin,2025-07-11,92.8,75.7,81.9,99.1,75.7,85,71.6,72.7,0.087,100,4.17,rain,0,0,28,10.6,174.7,1014.4,51.6,9.9,319,27.7,9,60,2025-07-11T06:37:41,2025-07-11T20:35:28,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KATT,KAUS,72064800230,KEDC,72254013904,72254413958,E5093"
